Student_ID,Future,Aging,PROGRAM,DEGREE,COLLEGE,bb_activity_latest,bb_gip_etc_ratio_std,cum_gpa,cum_credits,ba_credits_passed_prior1yr,ba_age,Gender,cp_prior3mon_pay_cnt,cp_prior3mon_pay_total,payment_auto_flag,risk,NATION_DESC,ind,current_balance,module_cp,day_since_end,in_module,day_since_begin,in_future,day_to_begin,in_dissertation
J00053854,0,330,MS_PSY,MS,PY,279,18.388318763,0.0,0,0,48,F,0,0,0,1,UNITED KINGDOM,9,161.11,1,219,0,365,0,365,0
J00053854,0,330,MS_PSY,MS,PY,310,18.388318763,0.0,0,0,48,F,0,0,0,0,UNITED KINGDOM,10,161.11,1,250,0,365,0,365,0
J00053858,161.11,0,MPH,MPH,PH,2,143.35429962,2.7,20,11.005090909,39,F,1,161.11,0,0,CANADA,9,0,2,107,1,71,1,27,0
J00053860,814.81,120,MS_SSCM,MS,MG,105,,0.0,0,0,27,M,0,0,0,1,SOUTH SUDAN,7,790.52,1,46,0,365,0,365,0
J00053860,0,150,MS_SSCM,MS,MG,136,79.845405457,0.0,0,0,27,M,0,0,0,1,SOUTH SUDAN,8,383.11,1,77,0,365,0,365,0
J00053860,0,180,MS_SSCM,MS,MG,166,79.845405457,0.0,0,0,27,M,0,0,0,1,SOUTH SUDAN,9,383.11,1,107,0,365,0,365,0
J00053860,0,330,MS_SSCM,MS,MG,197,79.845405457,0.0,0,0,27,M,0,0,0,1,SOUTH SUDAN,10,383.11,1,138,0,365,0,365,0
J00053863,0,330,MS_MPA,MS,PA,234,,0.0,0,0,43,M,0,0,0,1,ZAMBIA,7,1100,1,158,0,365,0,365,0
J00053863,0,330,MS_MPA,MS,PA,265,38.074636498,0.0,0,0,43,M,0,0,0,1,ZAMBIA,8,1100,1,189,0,365,0,365,0
J00053863,0,330,MS_MPA,MS,PA,295,38.074636498,0.0,0,0,43,M,0,0,0,1,ZAMBIA,9,1100,1,219,0,365,0,365,0
J00053863,0,330,MS_MPA,MS,PA,326,38.074636498,0.0,0,0,43,M,0,0,0,1,ZAMBIA,10,1100,1,250,0,365,0,365,0
J00053867,0,30,MS_SHRM,MS,MG,153,,0.0,0,0,44,M,0,0,0,1,NIGERIA,7,1131.22,1,158,0,365,0,365,0
J00053869,1161.11,0,MBA,MBA,MG,2,126.04791986,2.6,20,11.708907741,46,M,1,1161.11,0,0,UNITED KINGDOM,9,0,2,107,1,71,1,27,0
J00053873,722.22,0,MS_ISM,MS,MG,3,,0.0,0,0,39,M,0,0,0,0,SURINAME,7,0,1,46,0,365,0,365,0
J00053873,1222.22,0,MS_ISM,MS,MG,7,58.179350987,0.0,0,0,39,M,1,722.22,0,1,SURINAME,8,0,1,77,0,365,0,365,0
J00053883,1161.11,0,MS_ISM,MS,MG,3,118.23110561,2.1,20,10.392857143,32,M,1,1161.11,0,0,SRI LANKA,9,0,2,107,1,71,1,27,0
J00053887,1100,0,MA_MATLD,MA,ED,1,111.60957382,2.4,20,10.747252747,46,M,0,0,0,0,NIGERIA,9,0,2,107,1,71,1,27,0
J00053887,0,30,MA_MATLD,MA,ED,32,106.37229856,2.4,20,10.909090909,46,M,0,0,0,0,NIGERIA,10,1100,3,19,1,4,0,365,0
J00053890,1100,0,MA_MAEL,MA,ED,2,115.50706177,2.4,20,5.4926108374,32,M,0,0,0,0,BAHAMAS,9,0,1,219,1,71,1,27,0
J00053891,1161.11,0,MPH,MPH,PH,1,109.50278123,2.3,20,11.005090909,38,F,2,1184.33,0,0,UNITED ARAB EMIRATES,9,0,2,107,1,71,1,27,0
J00053892,1100,0,MBA,MBA,MG,5,116.73101476,2.6,20,11.708907741,31,M,0,0,0,0,UNITED KINGDOM,9,0,2,107,1,71,1,27,0
J00053893,0,150,MS_ISM,MS,MG,107,,0.0,0,0,35,M,0,0,0,1,NIGERIA,7,861.11,1,46,0,365,0,365,0
J00053893,0,180,MS_ISM,MS,MG,138,19.3901054,0.0,0,0,35,M,0,0,0,1,NIGERIA,8,861.11,1,77,0,365,0,365,0
J00053893,0,330,MS_ISM,MS,MG,168,19.3901054,0.0,0,0,35,M,0,0,0,1,NIGERIA,9,861.11,1,107,0,365,0,365,0
J00053893,0,330,MS_ISM,MS,MG,199,19.3901054,0.0,0,0,35,M,0,0,0,1,NIGERIA,10,861.11,1,138,0,365,0,365,0
J00053894,1161.11,0,MS_PSY,MS,PY,1,123.57289815,2.4,20,5.9720930233,32,M,2,1161.11,0,0,NIGERIA,9,0,2,107,1,71,1,27,0
J00053896,0,30,MS_PRJ,MS,MG,1,,1.5,0,4.3637426901,38,M,4,761.11,0,0,UNITED ARAB EMIRATES,7,961.11,1,46,1,10,0,365,0
J00053896,1122.22,0,MS_PRJ,MS,MG,2,105.45409494,1.5,0,8.48606466,38,M,1,200,0,0,UNITED ARAB EMIRATES,9,0,1,107,1,71,0,365,0
J00053896,0,30,MS_PRJ,MS,MG,33,107.48830123,1.5,0,8.5976768743,38,M,0,0,0,0,UNITED ARAB EMIRATES,10,1122.22,2,19,1,4,0,365,0
J00053903,0,330,MS_PRJ,MS,MG,39,,1.6,0,0,52,M,2,117.46,0,0,GERMANY,7,528.98,1,158,0,365,0,365,0
J00053903,0,330,MS_PRJ,MS,MG,70,96.864150378,1.6,0,0,52,M,0,0,0,0,GERMANY,8,528.98,1,189,0,365,0,365,0
J00053903,0,330,MS_PRJ,MS,MG,100,96.864150378,1.6,0,0,52,M,0,0,0,0,GERMANY,9,528.98,1,219,0,365,0,365,0
J00053903,0,330,MS_PRJ,MS,MG,131,96.864150378,1.6,0,0,52,M,0,0,0,0,GERMANY,10,528.98,1,250,0,365,0,365,0
J00053904,1161.11,0,MBA,MBA,MG,3,76.223082742,2.0,20,3.9029692471,28,M,1,1161.11,0,0,SAUDI ARABIA,9,0,2,107,1,71,1,27,0
J00053912,0,330,MPH,MPH,PH,191,,0.0,0,0,29,F,0,0,0,1,NIGERIA,7,661.11,1,158,0,365,0,365,0
J00053912,0,330,MPH,MPH,PH,222,54.468493274,0.0,0,0,29,F,0,0,0,1,NIGERIA,8,661.11,1,189,0,365,0,365,0
J00053912,0,330,MPH,MPH,PH,252,54.468493274,0.0,0,0,29,F,0,0,0,1,NIGERIA,9,661.11,1,219,0,365,0,365,0
J00053912,0,330,MPH,MPH,PH,283,54.468493274,0.0,0,0,29,F,0,0,0,1,NIGERIA,10,661.11,1,250,0,365,0,365,0
J00053913,1161.11,0,MS_SSCM,MS,MG,32,,0.2,0,0,37,F,0,0,0,1,KENYA,7,0,1,158,0,365,0,365,0
J00053913,1161.11,0,MS_SSCM,MS,MG,63,48.247734772,0.2,0,0,37,F,0,0,0,1,KENYA,8,0,1,189,0,365,0,365,0
J00053914,0,30,MBA,MBA,MG,167,,2.0,20,4.0194986072,33,M,0,0,0,1,QATAR,7,1161.11,1,158,0,365,0,365,0
J00053915,1161.11,0,MS_ISM,MS,MG,1,124.35640846,2.2,20,10.392857143,35,F,1,1161.11,0,0,BRITISH VIRGIN ISLANDS,9,0,2,107,1,71,1,27,0
J00053915,0,30,MS_ISM,MS,MG,32,118.7962315,2.2,20,10.424778761,35,F,0,0,0,0,BRITISH VIRGIN ISLANDS,10,1161.11,3,19,1,4,0,365,0
J00053919,0,30,MBA,MBA,MG,80,,2.3,20,4.0194986072,35,M,0,0,0,1,GHANA,7,1161.11,2,46,0,365,0,365,0
